Carsia,Second Main,31,Rogue,Human,Alt,Elithiria-Dreamscythe(main);Hocipoci-Dreamscythe;Vitasan-Dreamscythe,Elithiria,,
Cellani,Officer,60,Rogue,Gnome,Main,Gilluian-Dreamscythe;Gilspur-Dreamscythe,Gnome Blender (herb/alch),,
Chaddington,Member,60,Mage,Human,Main,,Not Chaddgar,,
Cheesur,Second Main,60,Druid,Night Elf,Alt,Vendy-Dreamscythe(main);Vermi-Dreamscythe,Vendy,,
Chuzzle,Second Main,44,Mage,Gnome,Alt,Goalum-Dreamscythe(main),Goalum's alt,Friend of Vermie,
Chíllhunter,Second Main,60,Hunter,Night Elf,Alt,Nukeandloot-Dreamscythe;Pallyoflife-Dreamscythe;Wichael-Dreamscythe,Pallyoflife,,
Cight,Raider,60,Warlock,Gnome,Main,Zight-Dreamscythe,315 Skinning,,
Complexclass,Second Main,53,Hunter,Dwarf,Main,,,,
Cowslàughter,Raider,60,Mage,Gnome,Main,,Tailoring / Herbalism / Cooking,,
Cowsláughter,Second Main,2,Priest,Dwarf,Main,,,,
Crackashiftz,Member,33,Druid,Night Elf,Alt,Crackashotz-Dreamscythe(main),,,
Crackashotz,Member,60,Hunter,Dwarf,Main,Crackashiftz-Dreamscythe,Tribal LW/Skin,,
Crimdalli,Member,60,Paladin,Human,Main,,,,
Crisys,Officer,60,Warrior,Human,Main,Krycicle-Dreamscythe;Zaiphon-Dreamscythe,Goblin Engineer / Mining,,
Dakego,Second Main,18,Hunter,Night Elf,Main,Gôrê-Dreamscythe,Gore's alt,Eli's Friend,
Defeatist,Raider,60,Warrior,Gnome,Main,Raybanz-Dreamscythe,Repair Bot,,
Demonspirit,Second Main,25,Warlock,Human,Alt,Petfood-Dreamscythe(main),Petfood,,
Dilorian,Second Main,35,Mage,Human,Alt,Maribeth-Dreamscythe;Tetrachord-Dreamscythe(main),Tetra,,
Doende,Second Main,60,Rogue,Human,Alt,Fryst-Dreamscythe;Levande-Dreamscythe(main),Levande,,
Dottiecrits,Member,60,Warlock,Gnome,Main,Sisomso-Dreamscythe,Tailoring / Enchanting,,
Draetorian,Raider,60,Paladin,Human,Main,,,Ret,
Drudiehowser,Raider,60,Druid,Night Elf,Main,,,,
Durken,Member,60,Paladin,Dwarf,Main,,,,
Elithiria,Asst to the GM,60,Druid,Night Elf,Main,Carsia-Dreamscythe;Hocipoci-Dreamscythe;Vitasan-Dreamscythe,Alch - All Flasks,,
Fatherfearz,Second Main,19,Priest,Dwarf,Alt,Phrantix-Dreamscythe(main);Phrentix-Dreamscythe;Satentic-Dreamscythe,Phrantix Herb/Miner,,
Fathershlug,Member,14,Priest,Dwarf,Main,,,Vermie Friend,
Findrena,Member,22,Hunter,Night Elf,Main,,,,
Freyaheal,Raider,60,Priest,Human,Main,Freyahunt-Dreamscythe;Sunderelle-Dreamscythe,,,
Freyahunt,Second Main,60,Hunter,Night Elf,Alt,Freyaheal-Dreamscythe(main);Sunderelle-Dreamscythe,Freya's Alt,,
Fryst,Second Main,22,Mage,Gnome,Alt,Doende-Dreamscythe;Levande-Dreamscythe(main),Levande,,
Fuzzy,Member,60,Mage,Gnome,Main,Puzzy-Dreamscythe,Tailoring / 305 Skinning,,
Genm,Member,60,Mage,Human,Main,,,,
Ghiblie,Member,31,Paladin,Dwarf,Main,,,,
Giantsbane,Raider,60,Warrior,Human,Main,Halfcocked-Dreamscythe;Wetazztutsys-Dreamscythe,Armorsmith/Mining,,
Gilluian,Officer,27,Hunter,Night Elf,Alt,Cellani-Dreamscythe(main);Gilspur-Dreamscythe,Cellani,,
Gilspur,Officer,60,Paladin,Human,Alt,Cellani-Dreamscythe(main);Gilluian-Dreamscythe,Cellani - Prot/Holy Engineer,,
Goalum,Member,60,Rogue,Gnome,Main,Chuzzle-Dreamscythe,,Verm's Friend,
Gonlaren,Raider,60,Warrior,Human,Main,Angêl-Dreamscythe;Aveiangel-Dreamscythe,Weaponsmith - Swords,,
Guildensturn,Second Main,29,Warrior,Human,Alt,Rosencrants-Dreamscythe;Yensid-Dreamscythe(main),Yensid,,
Gôrê,Member,26,Mage,Gnome,Alt,Dakego-Dreamscythe(main),,Eli's Friend,
Hachy,Member,60,Mage,Gnome,Main,,,,
Halfcocked,Second Main,60,Hunter,Night Elf,Alt,Giantsbane-Dreamscythe(main);Wetazztutsys-Dreamscythe,Giantsbane,,
Hampter,Member,60,Rogue,Human,Main,,,,
Handicrap,Second Main,20,Hunter,Dwarf,Alt,Succubussin-Dreamscythe(main),Succubussin,,
Healthledger,Member,54,Priest,Dwarf,Main,,,,
Heckimborkin,Second Main,12,Priest,Human,Alt,Heckinborker-Dreamscythe(main),,,
Heckinborker,Raider,60,Mage,Gnome,Main,Heckimborkin-Dreamscythe,,tetra's friend,
Herbaldaddy,Second Main,1,Druid,Night Elf,Alt,Masaala-Dreamscythe;Tattedaddy-Dreamscythe(main),Cop Scared of Acorns,,
Herbmineboom,Officer,60,Druid,Night Elf,Alt,Ilovemarv-Dreamscythe;Marv-Dreamscythe(main);Marvy-Dreamscythe;Noper-Dreamscythe;Threatless-Dreamscythe;Yesplz-Dreamscythe,Marv's Alt,,
Hocipoci,Second Main,18,Mage,Gnome,Alt,Carsia-Dreamscythe;Elithiria-Dreamscythe(main);Vitasan-Dreamscythe,Elithiria,,
Holyshiites,Second Main,8,Paladin,Human,Main,,,,
Hunterkall,Member,21,Hunter,Night Elf,Main,,,Rando Freya invited?,
Ilovemarv,Second Main,1,Warrior,Gnome,Alt,Herbmineboom-Dreamscythe;Marv-Dreamscythe(main);Marvy-Dreamscythe;Noper-Dreamscythe;Threatless-Dreamscythe;Yesplz-Dreamscythe,,,
Insanelee,Member,60,Rogue,Gnome,Main,Ravenlee-Dreamscythe,Skinning / Mining,,
Inutero,Member,60,Priest,Night Elf,Main,,Alch w/ distilled wisdom,,
Irascible,Second Main,56,Mage,Gnome,Alt,Aichmophobia-Dreamscythe;Redmond-Dreamscythe(main),Redmond,,
Joesmage,Raider,60,Mage,Gnome,Main,Joespally-Dreamscythe,,Pally's friend,
Joespally,Second Main,53,Paladin,Human,Alt,Joesmage-Dreamscythe(main),Joesmage!,,
Johnyfive,Member,60,Mage,Gnome,Main,,,Freya's SoD Friend,
Kedar,Member,60,Druid,Night Elf,Main,Teekka-Dreamscythe;Thrustybussy-Dreamscythe,,,
Kitiara,Raider,60,Paladin,Human,Main,Kitlock-Dreamscythe;Kitwar-Dreamscythe,Herb/Alch,,
Kitlock,Second Main,8,Warlock,Human,Alt,Kitiara-Dreamscythe(main);Kitwar-Dreamscythe,Kitaria,,
Kitwar,Second Main,60,Warrior,Human,Alt,Kitiara-Dreamscythe(main);Kitlock-Dreamscythe,,Kitiara's Alt,
Krycicle,Officer,30,Mage,Gnome,Alt,Crisys-Dreamscythe(main);Zaiphon-Dreamscythe,Crisys,,
Lampylamps,Member,60,Priest,Human,Main,,,,
Leatherdáddy,Second Main,14,Rogue,Human,Alt,Anewstart-Dreamscythe;Anústart-Dreamscythe;Anüstart-Dreamscythe(main);Sheabutta-Dreamscythe;Sixinunbuffd-Dreamscythe,Anus,,
Lethalshadow,Raider,60,Rogue,Night Elf,Main,,Tribal LW - Devilsaur,,
Levande,Raider,60,Priest,Human,Main,Doende-Dreamscythe;Fryst-Dreamscythe,Enchanting / Tailoring,,
Liltripod,Raider,60,Mage,Gnome,Main,Lithropod-Dreamscythe;Pokeyourbuns-Dreamscythe,,Vendy's Friend,
Lithropod,Second Main,25,Warlock,Gnome,Alt,Liltripod-Dreamscythe(main);Pokeyourbuns-Dreamscythe,Liltripod,,
Lockguard,Member,60,Warlock,Human,Main,,,,
Madmaxine,Second Main,1,Warrior,Human,Alt,Pureseed-Dreamscythe;Pureshaft-Dreamscythe;Purewood-Dreamscythe(main),Purewood,Purewood Alt,
Malicee,Raider,60,Warlock,Human,Main,,,Friend of Obae,
Man,Second Main,22,Priest,Human,Main,,Dude,,
Maribeth,Second Main,40,Warlock,Human,Alt,Dilorian-Dreamscythe;Tetrachord-Dreamscythe(main),Tetrachord,,
Marv,Officer,60,Mage,Gnome,Main,Herbmineboom-Dreamscythe;Ilovemarv-Dreamscythe;Marvy-Dreamscythe;Noper-Dreamscythe;Threatless-Dreamscythe;Yesplz-Dreamscythe,Tailoring / Engineer,,
Marvheemeyer,Raider,60,Hunter,Dwarf,Main,,,,
Marvy,Officer,60,Warlock,Gnome,Alt,Herbmineboom-Dreamscythe;Ilovemarv-Dreamscythe;Marv-Dreamscythe(main);Noper-Dreamscythe;Threatless-Dreamscythe;Yesplz-Dreamscythe,Marv's Alt,,
Masaala,Second Main,31,Rogue,Gnome,Alt,Herbaldaddy-Dreamscythe;Tattedaddy-Dreamscythe(main),Tattedaddy,,
Mcduckington,Second Main,14,Paladin,Human,Alt,Britafilters-Dreamscythe;Sineprepus-Dreamscythe,Brita / Sine,,
Mcra,Raider,60,Warrior,Gnome,Main,Arcm-Dreamscythe,,,
Mereo,Second Main,8,Priest,Human,Alt,Sagacious-Dreamscythe(main),Sagacious,,
Mezmerize,Member,60,Warrior,Night Elf,Alt,Mezmerizee-Dreamscythe(main),,,
Mezmerizee,Raider,60,Warrior,Human,Main,Mezmerize-Dreamscythe,MAIN!!!,,
Miochan,Member,60,Mage,Gnome,Main,,,,
Moonjjo,Second Main,3,Druid,Night Elf,Alt,Bojjo-Dreamscythe(main);Smokeyz-Dreamscythe;Wojjo-Dreamscythe,,,
Mycroft,Member,60,Mage,Gnome,Main,,,,
Myrgonna,Member,60,Warlock,Human,Main,,,,
Nestork,Member,60,Warrior,Human,Main,,,,
Nicklas,Second Main,43,Mage,Human,Main,,,,
Niftycent,Raider,60,Priest,Human,Main,,,From Sat Pug,
Noper,Officer,11,Rogue,Gnome,Alt,Herbmineboom-Dreamscythe;Ilovemarv-Dreamscythe;Marv-Dreamscythe(main);Marvy-Dreamscythe;Threatless-Dreamscythe;Yesplz-Dreamscythe,Marv,Marv alt,
Nukeandloot,Second Main,60,Mage,Gnome,Alt,Chíllhunter-Dreamscythe;Pallyoflife-Dreamscythe;Wichael-Dreamscythe,Pallyoflife,,
Overtime,Second Main,60,Mage,Human,Alt,Roif-Dreamscythe(main),Roif,,
Pallyoflife,Raider,60,Paladin,Human,Alt,Chíllhunter-Dreamscythe;Nukeandloot-Dreamscythe;Wichael-Dreamscythe,alch/engineer holy/prot current,,
Patzer,Second Main,60,Paladin,Human,Alt,Asalamalikim-Dreamscythe(main);Asalamasikim-Dreamscythe,Asalamalikim,,
Petfood,Raider,60,Hunter,Night Elf,Main,Demonspirit-Dreamscythe,Expired Petfood,,
Phrantix,Member,60,Mage,Human,Main,Fatherfearz-Dreamscythe;Phrentix-Dreamscythe;Satentic-Dreamscythe,Tailoring / Herb,,
Phrentix,Second Main,37,Rogue,Gnome,Alt,Fatherfearz-Dreamscythe;Phrantix-Dreamscythe(main);Satentic-Dreamscythe,Phrantix twink,,
Pigpet,Second Main,40,Rogue,Human,Alt,Pigpit-Dreamscythe(main),Pig duh,,
Pigpit,Raider,60,Warlock,Gnome,Main,Pigpet-Dreamscythe,Ench/Alch,,
Pokeyourbuns,Second Main,60,Rogue,Night Elf,Alt,Liltripod-Dreamscythe(main);Lithropod-Dreamscythe,Liltripod,,
Porpentina,Raider,60,Druid,Night Elf,Main,Porpintina-Dreamscythe,,Feral,
Porpintina,Second Main,18,Warrior,Human,Alt,Porpentina-Dreamscythe(main),Porp duh,,
Poundmore,Second Main,60,Mage,Gnome,Alt,Alcohealik-Dreamscythe,squanch,,
Protpotthot,Second Main,1,Warrior,Gnome,Main,,,,
Prowess,Raider,60,Druid,Night Elf,Main,,,,
Pureseed,Second Main,26,Warlock,Human,Alt,Madmaxine-Dreamscythe;Pureshaft-Dreamscythe;Purewood-Dreamscythe(main),Pure,,
Pureshaft,Second Main,5,Hunter,Dwarf,Alt,Madmaxine-Dreamscythe;Pureseed-Dreamscythe;Purewood-Dreamscythe(main),Purey Pure,,
Purewood,Raider,60,Druid,Night Elf,Main,Madmaxine-Dreamscythe;Pureseed-Dreamscythe;Pureshaft-Dreamscythe,Pure is mostly wrong,,
Puzzy,Second Main,59,Paladin,Human,Alt,Fuzzy-Dreamscythe(main),Fuzzy,,
Ravenlee,Second Main,23,Hunter,Night Elf,Alt,Insanelee-Dreamscythe(main),Insanelee,,
Raybanz,Second Main,54,Paladin,Human,Alt,Defeatist-Dreamscythe(main),Defeatist,,
Redmond,Raider,60,Warlock,Gnome,Main,Aichmophobia-Dreamscythe;Irascible-Dreamscythe,Engineer / Mining,,
Reggery,Second Main,52,Warrior,Human,Alt,Reggie-Dreamscythe(main),Reggie Alt,,
Reggie,Raider,60,Rogue,Human,Main,Reggery-Dreamscythe,,,
Relzemberz,Member,18,Mage,Human,Main,,,Tetra's Friend,
Rhylintra,Member,60,Druid,Night Elf,Main,,,,
Rikeru,Second Main,60,Paladin,Human,Alt,Rikiversery-Dreamscythe(main),Rikiversery,,
Rikiversery,Member,60,Mage,Gnome,Main,Rikeru-Dreamscythe,,,
Rixvena,Member,60,Mage,Human,Main,,,,
Robotess,Member,20,Warlock,Gnome,Main,,,,
Roif,Member,60,Druid,Night Elf,Main,Overtime-Dreamscythe,Feral Enchanting / Alchemist,,
Rosencrants,Second Main,42,Paladin,Human,Alt,Guildensturn-Dreamscythe;Yensid-Dreamscythe(main),Yensid,,
Royalflush,Raider,60,Warlock,Human,Main,,Tailor / Herbalist,,
Sagacious,Raider,60,Druid,Night Elf,Main,Mereo-Dreamscythe,Herbalist / Alchemist,,
Samiage,Officer,20,Mage,Gnome,Alt,Samibo-Dreamscythe;Samitoo-Dreamscythe(main);Samitwo-Dreamscythe;Secmainbank-Dreamscythe,Samitoo,,
Samibo,Officer,53,Hunter,Night Elf,Alt,Samiage-Dreamscythe;Samitoo-Dreamscythe(main);Samitwo-Dreamscythe;Secmainbank-Dreamscythe,Samitoo's Alt,,
Samitoo,Guild Master,60,Priest,Dwarf,Main,Samiage-Dreamscythe;Samibo-Dreamscythe;Samitwo-Dreamscythe;Secmainbank-Dreamscythe,Tailoriing / Herbalist,,
Samitwo,Officer,60,Rogue,Human,Alt,Samiage-Dreamscythe;Samibo-Dreamscythe;Samitoo-Dreamscythe(main);Secmainbank-Dreamscythe,Samitoo Herb/Mining,,
Satentic,Second Main,29,Warlock,Gnome,Alt,Fatherfearz-Dreamscythe;Phrantix-Dreamscythe(main);Phrentix-Dreamscythe,Phrantix Herb/Skin,,
Scarletto,Member,60,Mage,Human,Main,,,,
Secmainbank,Officer,1,Paladin,Human,Alt,Samiage-Dreamscythe;Samibo-Dreamscythe;Samitoo-Dreamscythe(main);Samitwo-Dreamscythe,Guild Bank,,
Sheabutta,Second Main,20,Druid,Night Elf,Alt,Anewstart-Dreamscythe;Anústart-Dreamscythe;Anüstart-Dreamscythe(main);Leatherdáddy-Dreamscythe;Sixinunbuffd-Dreamscythe,Anuswife,,
Shill,Second Main,60,Mage,Gnome,Main,,,Freya's SOD friend,
Shrekt,Member,60,Rogue,Human,Main,,,,
Sicc,Raider,60,Warrior,Human,Main,,The Chadgar of Second Mains,,
Sineprepus,Member,60,Mage,Human,Alt,Britafilters-Dreamscythe;Mcduckington-Dreamscythe,,,
Sisomso,Second Main,37,Mage,Gnome,Alt,Dottiecrits-Dreamscythe(main),Short Ice King Pumping - Crits,Dottiecrits,
Sixinunbuffd,Second Main,6,Hunter,Dwarf,Alt,Anewstart-Dreamscythe;Anústart-Dreamscythe;Anüstart-Dreamscythe(main);Leatherdáddy-Dreamscythe;Sheabutta-Dreamscythe,Anustart,,
Smokeyz,Second Main,60,Warrior,Human,Alt,Bojjo-Dreamscythe(main);Moonjjo-Dreamscythe;Wojjo-Dreamscythe,Bojjo,,
Spells,Member,60,Mage,Gnome,Main,,,,
Succubussin,Raider,60,Warlock,Gnome,Main,Handicrap-Dreamscythe,,,
Sunderelle,Second Main,13,Warrior,Human,Alt,Freyaheal-Dreamscythe(main);Freyahunt-Dreamscythe,Freya,,
Swordesman,Member,54,Warrior,Human,Main,,,,
Sylvanding,Member,60,Priest,Human,Main,,,,
Synjak,Member,60,Warrior,Human,Main,,Herbalist / Alchemist,,
Tattedaddy,Raider,60,Warlock,Gnome,Main,Herbaldaddy-Dreamscythe;Masaala-Dreamscythe,Herbalist / Mining,,
Teekka,Second Main,55,Mage,Gnome,Alt,Kedar-Dreamscythe(main);Thrustybussy-Dreamscythe,Kedar,,
Tensnap,Member,60,Priest,Dwarf,Main,,Bobsun's Friend,Bobsuns Friend,
Tetrachord,Raider,60,Warrior,Human,Main,Dilorian-Dreamscythe;Maribeth-Dreamscythe,300 Miner/315 Skinner,,
Threatless,Second Main,11,Warrior,Gnome,Alt,Herbmineboom-Dreamscythe;Ilovemarv-Dreamscythe;Marv-Dreamscythe(main);Marvy-Dreamscythe;Noper-Dreamscythe;Yesplz-Dreamscythe,Might be Marv who knows,,
Thrustybussy,Second Main,31,Rogue,Human,Alt,Kedar-Dreamscythe(main);Teekka-Dreamscythe,Kedar,,
Tminie,Member,60,Priest,Human,Main,,,Liltripods Friend,
Truhealz,Member,60,Paladin,Human,Main,Boomshakalka-Dreamscythe,,,
Tuffbank,Second Main,1,Rogue,Human,Alt,Tuffmangnome-Dreamscythe;Tuffmanjones-Dreamscythe(main),,,
Tuffmangnome,Second Main,42,Warlock,Gnome,Alt,Tuffbank-Dreamscythe;Tuffmanjones-Dreamscythe(main),Tuffman,,
Tuffmanjones,Raider,60,Warrior,Human,Main,Tuffbank-Dreamscythe;Tuffmangnome-Dreamscythe,Miner / Engineer,,
Vaelarys,Raider,60,Warlock,Gnome,Main,,,,
Vallerya,Raider,60,Priest,Human,Main,,Enchanting / Tailoring - Crusad,,
Valoria,Member,60,Paladin,Human,,,,,
Vendy,Raider,60,Mage,Gnome,Main,Cheesur-Dreamscythe;Vermi-Dreamscythe,,,
Verm,Second Main,60,Mage,Human,Alt,Vermie-Dreamscythe(main);Vermy-Dreamscythe,,,
Vermi,Second Main,60,Druid,Night Elf,Alt,Cheesur-Dreamscythe;Vendy-Dreamscythe(main),Also Vendy,,
Vermie,Raider,60,Priest,Night Elf,Main,Verm-Dreamscythe;Vermy-Dreamscythe,Chili's Enthusiast,,
Vermy,Second Main,26,Rogue,Human,Alt,Verm-Dreamscythe;Vermie-Dreamscythe(main),,,
Vitasan,Second Main,49,Priest,Dwarf,Alt,Carsia-Dreamscythe;Elithiria-Dreamscythe(main);Hocipoci-Dreamscythe,Elithiria,,
Wetazztutsys,Second Main,9,Mage,Gnome,Alt,Giantsbane-Dreamscythe(main);Halfcocked-Dreamscythe,Giantsbane,,
Whatthebrown,Member,60,Priest,Dwarf,Main,,,,
Wichael,Second Main,48,Warlock,Human,Alt,Chíllhunter-Dreamscythe;Nukeandloot-Dreamscythe;Pallyoflife-Dreamscythe,Pally,,
Wojjo,Second Main,3,Warlock,Gnome,Alt,Bojjo-Dreamscythe(main);Moonjjo-Dreamscythe;Smokeyz-Dreamscythe,,,
Wuzzy,Member,60,Warlock,Gnome,Main,,,,
Yensid,Raider,60,Mage,Human,Main,Guildensturn-Dreamscythe;Rosencrants-Dreamscythe,Enchant/Tailor - crusader,,
Yesplz,Officer,35,Hunter,Dwarf,Alt,Herbmineboom-Dreamscythe;Ilovemarv-Dreamscythe;Marv-Dreamscythe(main);Marvy-Dreamscythe;Noper-Dreamscythe;Threatless-Dreamscythe,Marv's Alt,,
Zaiphon,Officer,50,Rogue,Human,Alt,Crisys-Dreamscythe(main);Krycicle-Dreamscythe,Crysis' Alt,,
Zarec,Second Main,51,Paladin,Human,Alt,Zarek-Dreamscythe(main),Zarek,,
Zarek,Raider,60,Mage,Gnome,Main,Zarec-Dreamscythe,,,
Zight,Second Main,60,Warrior,Human,Alt,Cight-Dreamscythe(main),Cight,,
Øbae,Raider,60,Rogue,Human,Main,Øbey-Dreamscythe,Master Sapper Engineer,Zarek Brother,
Øbey,Second Main,49,Paladin,Human,Alt,Øbae-Dreamscythe(main),Obey duh,,
